Participant #,Time,Group,Survey,Response,Question
1,Pre,Experimental,FACES,2,1
1,Pre,Experimental,FACES,5,2
1,Pre,Experimental,FACES,5,3
1,Pre,Experimental,FACES,5,4
1,Pre,Experimental,FACES,5,5
1,Pre,Experimental,FACES,2,6
1,Pre,Experimental,FACES,5,7
1,Pre,Experimental,AKS,3,1
1,Pre,Experimental,AKS,1,2
1,Pre,Experimental,AKS,1,3
1,Pre,Experimental,AKS,5,4
1,Pre,Experimental,AKS,1,5
1,Pre,Experimental,AKS,4,6
1,Pre,Experimental,AKS,1,7
1,Pre,Experimental,AKS,5,8
1,Pre,Experimental,AKS,4,9
1,Pre,Experimental,AKS,1,10
1,Pre,Experimental,AKS,3,11
1,Pre,Experimental,AKS,2,12
1,Pre,Experimental,AKS,5,13
1,Pre,Experimental,AKS,1,14
1,Pre,Experimental,AKS,1,15
1,Pre,Experimental,AKS,1,16
1,Pre,Experimental,AKS,5,17
1,Pre,Experimental,AKS,4,18
1,Pre,Experimental,AKS,1,19
1,Pre,Experimental,AKS,1,20
1,Pre,Experimental,AKS,3,21
1,Pre,Experimental,FES,5,1
1,Pre,Experimental,FES,5,2
1,Pre,Experimental,FES,3,3
1,Pre,Experimental,FES,3,4
1,Pre,Experimental,FES,5,5
1,Pre,Experimental,FES,5,6
1,Pre,Experimental,FES,5,7
1,Pre,Experimental,FES,5,8
1,Pre,Experimental,FES,5,9
1,Pre,Experimental,FES,5,10
1,Pre,Experimental,FES,5,11
1,Pre,Experimental,FES,5,12
1,Pre,Experimental,FES,5,13
1,Pre,Experimental,FES,3,14
1,Pre,Experimental,FES,5,15
1,Pre,Experimental,FES,5,16
1,Pre,Experimental,FES,3,17
1,Pre,Experimental,FES,5,18
1,Pre,Experimental,FES,5,19
1,Pre,Experimental,FES,4,20
1,Pre,Experimental,FES,4,21
1,Pre,Experimental,FES,1,22
1,Pre,Experimental,FES,5,23
1,Pre,Experimental,FES,2,24
1,Pre,Experimental,FES,5,25
1,Pre,Experimental,FES,5,26
1,Pre,Experimental,FES,5,27
1,Pre,Experimental,FES,5,28
1,Pre,Experimental,FES,5,29
1,Pre,Experimental,FES,5,30
1,Pre,Experimental,FES,5,31
1,Pre,Experimental,FES,5,32
1,Pre,Experimental,FES,5,33
1,Pre,Experimental,FES,5,34
1,Pre,Experimental,SCS,4,1
1,Pre,Experimental,SCS,4,2
1,Pre,Experimental,SCS,4,3
1,Pre,Experimental,SCS,4,4
1,Pre,Experimental,SCS,4,5
1,Pre,Experimental,SCS,4,6
1,Pre,Experimental,SCS,4,7
1,Pre,Experimental,FPPS,5,1
1,Pre,Experimental,FPPS,5,2
1,Pre,Experimental,FPPS,5,3
1,Pre,Experimental,FPPS,5,4
1,Pre,Experimental,FPPS,5,5
1,Pre,Experimental,FPPS,5,6
1,Pre,Experimental,FPPS,5,7
1,Pre,Experimental,FPPS,5,8
1,Pre,Experimental,FPPS,5,9
1,Pre,Experimental,FPPS,5,10
1,Pre,Experimental,FPPS,5,11
1,Pre,Experimental,FPPS,5,12
1,Pre,Experimental,FPPS,5,13
1,Pre,Experimental,FPPS,5,14
1,Pre,Experimental,FPPS,5,15
1,Pre,Experimental,FPPS,5,16
1,Pre,Experimental,FPPS,5,17
1,Pre,Experimental,FPPS,5,18
1,Pre,Experimental,SEAS,2,1
1,Pre,Experimental,SEAS,5,2
1,Pre,Experimental,SEAS,5,3
1,Pre,Experimental,SEAS,5,4
1,Pre,Experimental,SEAS,5,5
1,Pre,Experimental,SEAS,4,6
1,Pre,Experimental,SEAS,5,7
1,Pre,Experimental,SEAS,5,8
1,Pre,Experimental,SEAS,5,9
1,Pre,Experimental,SEAS,5,10
2,Pre,Experimental,FACES,2,1
2,Pre,Experimental,FACES,4,2
2,Pre,Experimental,FACES,4,3
2,Pre,Experimental,FACES,3,4
2,Pre,Experimental,FACES,3,5
2,Pre,Experimental,FACES,4,6
2,Pre,Experimental,FACES,3,7
2,Pre,Experimental,AKS,2,1
2,Pre,Experimental,AKS,1,2
2,Pre,Experimental,AKS,1,3
2,Pre,Experimental,AKS,5,4
2,Pre,Experimental,AKS,1,5
2,Pre,Experimental,AKS,3,6
2,Pre,Experimental,AKS,1,7
2,Pre,Experimental,AKS,5,8
2,Pre,Experimental,AKS,1,9
2,Pre,Experimental,AKS,1,10
2,Pre,Experimental,AKS,1,11
2,Pre,Experimental,AKS,5,12
2,Pre,Experimental,AKS,3,13
2,Pre,Experimental,AKS,1,14
2,Pre,Experimental,AKS,3,15
2,Pre,Experimental,AKS,1,16
2,Pre,Experimental,AKS,3,17
2,Pre,Experimental,AKS,1,18
2,Pre,Experimental,AKS,1,19
2,Pre,Experimental,AKS,2,20
2,Pre,Experimental,AKS,5,21
2,Pre,Experimental,FES,5,1
2,Pre,Experimental,FES,4,2
2,Pre,Experimental,FES,4,3
2,Pre,Experimental,FES,4,4
2,Pre,Experimental,FES,4,5
2,Pre,Experimental,FES,4,6
2,Pre,Experimental,FES,4,7
2,Pre,Experimental,FES,1,8
2,Pre,Experimental,FES,1,9
2,Pre,Experimental,FES,4,10
2,Pre,Experimental,FES,4,11
2,Pre,Experimental,FES,5,12
2,Pre,Experimental,FES,5,13
2,Pre,Experimental,FES,4,14
2,Pre,Experimental,FES,3,15
2,Pre,Experimental,FES,4,16
2,Pre,Experimental,FES,5,17
2,Pre,Experimental,FES,5,18
2,Pre,Experimental,FES,4,19
2,Pre,Experimental,FES,4,20
2,Pre,Experimental,FES,4,21
2,Pre,Experimental,FES,1,22
2,Pre,Experimental,FES,3,23
2,Pre,Experimental,FES,3,24
2,Pre,Experimental,FES,4,25
2,Pre,Experimental,FES,2,26
2,Pre,Experimental,FES,4,27
2,Pre,Experimental,FES,4,28
2,Pre,Experimental,FES,4,29
2,Pre,Experimental,FES,4,30
2,Pre,Experimental,FES,4,31
2,Pre,Experimental,FES,5,32
2,Pre,Experimental,FES,3,33
2,Pre,Experimental,FES,3,34
2,Pre,Experimental,SCS,4,1
2,Pre,Experimental,SCS,4,2
2,Pre,Experimental,SCS,4,3
2,Pre,Experimental,SCS,4,4
2,Pre,Experimental,SCS,4,5
2,Pre,Experimental,SCS,2,6
2,Pre,Experimental,SCS,3,7
2,Pre,Experimental,FPPS,4,1
2,Pre,Experimental,FPPS,4,2
2,Pre,Experimental,FPPS,4,3
2,Pre,Experimental,FPPS,4,4
2,Pre,Experimental,FPPS,4,5
2,Pre,Experimental,FPPS,4,6
2,Pre,Experimental,FPPS,4,7
2,Pre,Experimental,FPPS,4,8
2,Pre,Experimental,FPPS,4,9
2,Pre,Experimental,FPPS,4,10
2,Pre,Experimental,FPPS,4,11
2,Pre,Experimental,FPPS,4,12
2,Pre,Experimental,FPPS,4,13
2,Pre,Experimental,FPPS,4,14
2,Pre,Experimental,FPPS,4,15
2,Pre,Experimental,FPPS,4,16
2,Pre,Experimental,FPPS,4,17
2,Pre,Experimental,FPPS,4,18
2,Pre,Experimental,SEAS,3,1
2,Pre,Experimental,SEAS,3,2
2,Pre,Experimental,SEAS,3,3
2,Pre,Experimental,SEAS,2,4
2,Pre,Experimental,SEAS,3,5
2,Pre,Experimental,SEAS,4,6
2,Pre,Experimental,SEAS,4,7
2,Pre,Experimental,SEAS,4,8
2,Pre,Experimental,SEAS,4,9
2,Pre,Experimental,SEAS,4,10
3,Pre,Experimental,FACES,1,1
3,Pre,Experimental,FACES,5,2
3,Pre,Experimental,FACES,5,3
3,Pre,Experimental,FACES,3,4
3,Pre,Experimental,FACES,2,5
3,Pre,Experimental,FACES,2,6
3,Pre,Experimental,FACES,5,7
3,Pre,Experimental,AKS,5,1
3,Pre,Experimental,AKS,1,2
3,Pre,Experimental,AKS,1,3
3,Pre,Experimental,AKS,5,4
3,Pre,Experimental,AKS,1,5
3,Pre,Experimental,AKS,3,6
3,Pre,Experimental,AKS,3,7
3,Pre,Experimental,AKS,5,8
3,Pre,Experimental,AKS,1,9
3,Pre,Experimental,AKS,1,10
3,Pre,Experimental,AKS,1,11
3,Pre,Experimental,AKS,5,12
3,Pre,Experimental,AKS,3,13
3,Pre,Experimental,AKS,3,14
3,Pre,Experimental,AKS,3,15
3,Pre,Experimental,AKS,3,16
3,Pre,Experimental,AKS,3,17
3,Pre,Experimental,AKS,3,18
3,Pre,Experimental,AKS,3,19
3,Pre,Experimental,AKS,3,20
3,Pre,Experimental,AKS,3,21
3,Pre,Experimental,FES,5,1
3,Pre,Experimental,FES,5,2
3,Pre,Experimental,FES,5,3
3,Pre,Experimental,FES,5,4
3,Pre,Experimental,FES,5,5
3,Pre,Experimental,FES,5,6
3,Pre,Experimental,FES,5,7
3,Pre,Experimental,FES,5,8
3,Pre,Experimental,FES,5,9
3,Pre,Experimental,FES,1,10
3,Pre,Experimental,FES,3,11
3,Pre,Experimental,FES,5,12
3,Pre,Experimental,FES,5,13
3,Pre,Experimental,FES,5,14
3,Pre,Experimental,FES,5,15
3,Pre,Experimental,FES,5,16
3,Pre,Experimental,FES,5,17
3,Pre,Experimental,FES,5,18
3,Pre,Experimental,FES,5,19
3,Pre,Experimental,FES,1,20
3,Pre,Experimental,FES,5,21
3,Pre,Experimental,FES,1,22
3,Pre,Experimental,FES,3,23
3,Pre,Experimental,FES,3,24
3,Pre,Experimental,FES,4,25
3,Pre,Experimental,FES,5,26
3,Pre,Experimental,FES,5,27
3,Pre,Experimental,FES,5,28
3,Pre,Experimental,FES,5,29
3,Pre,Experimental,FES,3,30
3,Pre,Experimental,FES,4,31
3,Pre,Experimental,FES,5,32
3,Pre,Experimental,FES,3,33
3,Pre,Experimental,FES,5,34
3,Pre,Experimental,SCS,4,1
3,Pre,Experimental,SCS,4,2
3,Pre,Experimental,SCS,3,3
3,Pre,Experimental,SCS,5,4
3,Pre,Experimental,SCS,5,5
3,Pre,Experimental,SCS,4,6
3,Pre,Experimental,SCS,4,7
3,Pre,Experimental,FPPS,5,1
3,Pre,Experimental,FPPS,5,2
3,Pre,Experimental,FPPS,4,3
3,Pre,Experimental,FPPS,5,4
3,Pre,Experimental,FPPS,5,5
3,Pre,Experimental,FPPS,5,6
3,Pre,Experimental,FPPS,5,7
3,Pre,Experimental,FPPS,5,8
3,Pre,Experimental,FPPS,5,9
3,Pre,Experimental,FPPS,5,10
3,Pre,Experimental,FPPS,5,11
3,Pre,Experimental,FPPS,5,12
3,Pre,Experimental,FPPS,5,13
3,Pre,Experimental,FPPS,5,14
3,Pre,Experimental,FPPS,5,15
3,Pre,Experimental,FPPS,5,16
3,Pre,Experimental,FPPS,5,17
3,Pre,Experimental,FPPS,5,18
3,Pre,Experimental,SEAS,2,1
3,Pre,Experimental,SEAS,2,2
3,Pre,Experimental,SEAS,3,3
3,Pre,Experimental,SEAS,5,4
3,Pre,Experimental,SEAS,5,5
3,Pre,Experimental,SEAS,5,6
3,Pre,Experimental,SEAS,4,7
3,Pre,Experimental,SEAS,5,8
3,Pre,Experimental,SEAS,5,9
3,Pre,Experimental,SEAS,5,10
4,Pre,Experimental,FACES,1,1
4,Pre,Experimental,FACES,5,2
4,Pre,Experimental,FACES,4,3
4,Pre,Experimental,FACES,4,4
4,Pre,Experimental,FACES,4,5
4,Pre,Experimental,FACES,3,6
4,Pre,Experimental,FACES,5,7
4,Pre,Experimental,AKS,3,1
4,Pre,Experimental,AKS,1,2
4,Pre,Experimental,AKS,1,3
4,Pre,Experimental,AKS,1,4
4,Pre,Experimental,AKS,1,5
4,Pre,Experimental,AKS,4,6
4,Pre,Experimental,AKS,1,7
4,Pre,Experimental,AKS,5,8
4,Pre,Experimental,AKS,1,9
4,Pre,Experimental,AKS,1,10
4,Pre,Experimental,AKS,1,11
4,Pre,Experimental,AKS,3,12
4,Pre,Experimental,AKS,4,13
4,Pre,Experimental,AKS,1,14
4,Pre,Experimental,AKS,3,15
4,Pre,Experimental,AKS,2,16
4,Pre,Experimental,AKS,1,17
4,Pre,Experimental,AKS,1,18
4,Pre,Experimental,AKS,1,19
4,Pre,Experimental,AKS,4,20
4,Pre,Experimental,AKS,1,21
4,Pre,Experimental,FES,5,1
4,Pre,Experimental,FES,3,2
4,Pre,Experimental,FES,4,3
4,Pre,Experimental,FES,5,4
4,Pre,Experimental,FES,3,5
4,Pre,Experimental,FES,5,6
4,Pre,Experimental,FES,4,7
4,Pre,Experimental,FES,1,8
4,Pre,Experimental,FES,4,9
4,Pre,Experimental,FES,1,10
4,Pre,Experimental,FES,5,11
4,Pre,Experimental,FES,5,12
4,Pre,Experimental,FES,5,13
4,Pre,Experimental,FES,3,14
4,Pre,Experimental,FES,1,15
4,Pre,Experimental,FES,3,16
4,Pre,Experimental,FES,5,17
4,Pre,Experimental,FES,5,18
4,Pre,Experimental,FES,5,19
4,Pre,Experimental,FES,5,20
4,Pre,Experimental,FES,5,21
4,Pre,Experimental,FES,2,22
4,Pre,Experimental,FES,4,23
4,Pre,Experimental,FES,3,24
4,Pre,Experimental,FES,5,25
4,Pre,Experimental,FES,3,26
4,Pre,Experimental,FES,4,27
4,Pre,Experimental,FES,5,28
4,Pre,Experimental,FES,5,29
4,Pre,Experimental,FES,5,30
4,Pre,Experimental,FES,5,31
4,Pre,Experimental,FES,3,32
4,Pre,Experimental,FES,5,33
4,Pre,Experimental,FES,5,34
4,Pre,Experimental,SCS,5,1
4,Pre,Experimental,SCS,5,2
4,Pre,Experimental,SCS,5,3
4,Pre,Experimental,SCS,4,4
4,Pre,Experimental,SCS,5,5
4,Pre,Experimental,SCS,5,6
4,Pre,Experimental,SCS,4,7
4,Pre,Experimental,FPPS,4,1
4,Pre,Experimental,FPPS,5,2
4,Pre,Experimental,FPPS,5,3
4,Pre,Experimental,FPPS,5,4
4,Pre,Experimental,FPPS,5,5
4,Pre,Experimental,FPPS,5,6
4,Pre,Experimental,FPPS,5,7
4,Pre,Experimental,FPPS,5,8
4,Pre,Experimental,FPPS,5,9
4,Pre,Experimental,FPPS,5,10
4,Pre,Experimental,FPPS,5,11
4,Pre,Experimental,FPPS,5,12
4,Pre,Experimental,FPPS,5,13
4,Pre,Experimental,FPPS,5,14
4,Pre,Experimental,FPPS,5,15
4,Pre,Experimental,FPPS,5,16
4,Pre,Experimental,FPPS,5,17
4,Pre,Experimental,FPPS,5,18
4,Pre,Experimental,SEAS,2,1
4,Pre,Experimental,SEAS,2,2
4,Pre,Experimental,SEAS,2,3
4,Pre,Experimental,SEAS,4,4
4,Pre,Experimental,SEAS,5,5
4,Pre,Experimental,SEAS,5,6
4,Pre,Experimental,SEAS,5,7
4,Pre,Experimental,SEAS,5,8
4,Pre,Experimental,SEAS,5,9
4,Pre,Experimental,SEAS,5,10
5,Pre,Experimental,FACES,2,1
5,Pre,Experimental,FACES,3,2
5,Pre,Experimental,FACES,4,3
5,Pre,Experimental,FACES,2,4
5,Pre,Experimental,FACES,2,5
5,Pre,Experimental,FACES,3,6
5,Pre,Experimental,FACES,2,7
5,Pre,Experimental,AKS,5,1
5,Pre,Experimental,AKS,3,2
5,Pre,Experimental,AKS,2,3
5,Pre,Experimental,AKS,3,4
5,Pre,Experimental,AKS,1,5
5,Pre,Experimental,AKS,4,6
5,Pre,Experimental,AKS,3,7
5,Pre,Experimental,AKS,5,8
5,Pre,Experimental,AKS,1,9
5,Pre,Experimental,AKS,1,10
5,Pre,Experimental,AKS,1,11
5,Pre,Experimental,AKS,4,12
5,Pre,Experimental,AKS,3,13
5,Pre,Experimental,AKS,1,14
5,Pre,Experimental,AKS,3,15
5,Pre,Experimental,AKS,3,16
5,Pre,Experimental,AKS,2,17
5,Pre,Experimental,AKS,1,18
5,Pre,Experimental,AKS,3,19
5,Pre,Experimental,AKS,3,20
5,Pre,Experimental,AKS,3,21
5,Pre,Experimental,FES,4,1
5,Pre,Experimental,FES,3,2
5,Pre,Experimental,FES,3,3
5,Pre,Experimental,FES,3,4
5,Pre,Experimental,FES,2,5
5,Pre,Experimental,FES,2,6
5,Pre,Experimental,FES,3,7
5,Pre,Experimental,FES,1,8
5,Pre,Experimental,FES,2,9
5,Pre,Experimental,FES,2,10
5,Pre,Experimental,FES,2,11
5,Pre,Experimental,FES,3,12
5,Pre,Experimental,FES,2,13
5,Pre,Experimental,FES,3,14
5,Pre,Experimental,FES,1,15
5,Pre,Experimental,FES,2,16
5,Pre,Experimental,FES,3,17
5,Pre,Experimental,FES,3,18
5,Pre,Experimental,FES,3,19
5,Pre,Experimental,FES,3,20
5,Pre,Experimental,FES,2,21
5,Pre,Experimental,FES,2,22
5,Pre,Experimental,FES,1,23
5,Pre,Experimental,FES,3,24
5,Pre,Experimental,FES,3,25
5,Pre,Experimental,FES,1,26
5,Pre,Experimental,FES,3,27
5,Pre,Experimental,FES,3,28
5,Pre,Experimental,FES,3,29
5,Pre,Experimental,FES,3,30
5,Pre,Experimental,FES,3,31
5,Pre,Experimental,FES,4,32
5,Pre,Experimental,FES,3,33
5,Pre,Experimental,FES,3,34
5,Pre,Experimental,SCS,2,1
5,Pre,Experimental,SCS,2,2
5,Pre,Experimental,SCS,2,3
5,Pre,Experimental,SCS,2,4
5,Pre,Experimental,SCS,4,5
5,Pre,Experimental,SCS,3,6
5,Pre,Experimental,SCS,2,7
5,Pre,Experimental,FPPS,4,1
5,Pre,Experimental,FPPS,2,2
5,Pre,Experimental,FPPS,3,3
5,Pre,Experimental,FPPS,3,4
5,Pre,Experimental,FPPS,4,5
5,Pre,Experimental,FPPS,4,6
5,Pre,Experimental,FPPS,4,7
5,Pre,Experimental,FPPS,4,8
5,Pre,Experimental,FPPS,4,9
5,Pre,Experimental,FPPS,3,10
5,Pre,Experimental,FPPS,4,11
5,Pre,Experimental,FPPS,3,12
5,Pre,Experimental,FPPS,3,13
5,Pre,Experimental,FPPS,4,14
5,Pre,Experimental,FPPS,4,15
5,Pre,Experimental,FPPS,4,16
5,Pre,Experimental,FPPS,4,17
5,Pre,Experimental,FPPS,4,18
5,Pre,Experimental,SEAS,2,1
5,Pre,Experimental,SEAS,2,2
5,Pre,Experimental,SEAS,2,3
5,Pre,Experimental,SEAS,2,4
5,Pre,Experimental,SEAS,2,5
5,Pre,Experimental,SEAS,2,6
5,Pre,Experimental,SEAS,2,7
5,Pre,Experimental,SEAS,3,8
5,Pre,Experimental,SEAS,3,9
5,Pre,Experimental,SEAS,2,10
6,Pre,Experimental,FACES,4,1
6,Pre,Experimental,FACES,4,2
6,Pre,Experimental,FACES,5,3
6,Pre,Experimental,FACES,4,4
6,Pre,Experimental,FACES,4,5
6,Pre,Experimental,FACES,4,6
6,Pre,Experimental,FACES,4,7
6,Pre,Experimental,AKS,5,1
6,Pre,Experimental,AKS,2,2
6,Pre,Experimental,AKS,1,3
6,Pre,Experimental,AKS,5,4
6,Pre,Experimental,AKS,1,5
